inventory_id,product_id,stock_remaining,warehouse_id,restock_date
00001,021,216,W016,
00002,013,333,W018,
00003,011,429,W035,
00004,008,386,W023,
00005,016,380,W031,
00006,022,112,W027,
00007,026,190,W041,
00008,001,317,W016,
00009,016,379,W027,
00010,014,161,W045,
00011,013,40,W028,2025-02-05
00012,004,432,W049,
00013,023,410,W048,
00014,005,55,W047,
00015,004,57,W039,
00016,004,73,W016,
00017,024,463,W019,
00018,005,47,W043,2025-01-24
00019,022,215,W034,
00020,021,308,W038,
00021,023,488,W025,
00022,013,283,W046,
00023,003,18,W013,2025-02-03
00024,013,57,W037,
00025,001,332,W045,
00026,015,67,W031,
00027,003,389,W020,
00028,024,479,W045,
00029,026,382,W038,
00030,007,276,W035,
00031,010,419,W023,
00032,019,444,W027,
00033,003,56,W014,
00034,025,21,W036,2025-02-05
00035,020,233,W036,
00036,022,332,W007,
00037,023,80,W017,
00038,024,37,W037,2025-02-05
00039,024,232,W016,
00040,012,45,W038,2025-02-02
00041,002,429,W038,
00042,003,15,W019,2025-01-25
00043,015,184,W007,
00044,009,461,W014,
00045,009,317,W040,
00046,006,345,W003,
00047,022,364,W030,
00048,002,149,W014,
00049,017,369,W050,
00050,006,124,W019,
00051,001,312,W044,
00052,020,445,W030,
00053,025,294,W015,
00054,019,419,W010,
00055,003,48,W017,2025-01-30
00056,010,445,W025,
00057,005,334,W013,
00058,012,485,W006,
00059,010,43,W024,2025-01-29
00060,017,2,W018,2025-02-14
00061,012,341,W014,
00062,025,42,W013,2025-01-28
00063,015,24,W003,2025-01-26
00064,003,121,W013,
00065,018,311,W032,
00066,019,409,W023,
00067,015,489,W001,
00068,009,183,W014,
00069,021,445,W029,
00070,013,440,W016,
00071,013,494,W008,
00072,005,459,W022,
00073,001,489,W029,
00074,014,284,W032,
00075,007,102,W010,
00076,010,390,W038,
00077,017,283,W043,
00078,023,351,W016,
00079,001,368,W037,
00080,017,165,W046,
00081,010,176,W003,
00082,007,156,W015,
00083,011,156,W024,
00084,010,393,W001,
00085,006,333,W037,
00086,015,396,W043,
00087,010,388,W010,
00088,015,490,W043,
00089,005,242,W036,
00090,025,35,W010,2025-02-15
00091,024,305,W029,
00092,010,345,W017,
00093,026,349,W026,
00094,026,16,W035,2025-01-24
00095,006,463,W033,
00096,023,473,W032,
00097,007,309,W049,
00098,020,408,W009,
00099,009,360,W010,
00100,010,425,W025,
00101,006,100,W012,
00102,013,36,W044,2025-02-17
00103,009,256,W027,
00104,024,454,W004,
00105,003,228,W013,
00106,005,219,W021,
00107,009,454,W008,
00108,004,249,W037,
00109,025,236,W011,
00110,010,400,W031,
00111,022,145,W013,
00112,005,340,W050,
00113,008,41,W001,2025-02-02
00114,002,90,W004,
00115,012,235,W010,
00116,007,296,W003,
00117,024,34,W025,2025-02-09
00118,026,185,W030,
00119,003,337,W048,
00120,017,307,W036,
00121,004,120,W035,
00122,005,346,W003,
00123,022,148,W033,
00124,007,242,W050,
00125,006,207,W040,
00126,001,489,W033,
00127,022,59,W040,
00128,021,184,W029,
00129,008,346,W017,
00130,007,301,W004,
00131,023,210,W050,
00132,002,81,W024,
00133,002,133,W027,
00134,021,297,W009,
00135,012,262,W041,
00136,009,391,W032,
00137,009,357,W009,
00138,002,156,W024,
00139,025,325,W029,
00140,009,154,W010,
00141,005,294,W047,
00142,016,317,W027,
00143,023,287,W006,
00144,010,44,W011,2025-01-26
00145,008,342,W014,
00146,013,288,W030,
00147,013,384,W011,
00148,017,314,W044,
00149,025,459,W044,
00150,022,196,W030,
00151,004,286,W020,
00152,004,58,W039,
00153,003,135,W030,
00154,023,121,W036,
00155,014,89,W032,
00156,022,411,W038,
00157,024,198,W030,
00158,015,72,W010,
00159,001,245,W040,
00160,025,255,W041,
00161,014,150,W032,
00162,004,6,W046,2025-01-21
00163,002,144,W049,
00164,010,44,W029,2025-01-30
00165,007,490,W032,
00166,025,491,W038,
00167,004,26,W032,2025-01-30
00168,021,362,W036,
00169,012,258,W004,
00170,011,174,W013,
00171,011,87,W045,
00172,001,390,W015,
00173,015,301,W024,
00174,013,355,W008,
00175,013,228,W031,
00176,023,117,W049,
00177,022,14,W006,2025-01-19
00178,023,18,W002,2025-01-28
00179,016,276,W028,
00180,007,333,W017,
00181,019,342,W039,
00182,001,356,W026,
00183,010,125,W027,
00184,004,486,W011,
00185,013,299,W025,
00186,023,211,W009,
00187,008,375,W033,
00188,010,154,W001,
00189,007,248,W012,
00190,008,366,W048,
00191,020,233,W011,
00192,013,295,W030,
00193,002,75,W021,
00194,025,38,W023,2025-02-12
00195,019,318,W009,
00196,021,309,W028,
00197,018,203,W026,
00198,001,450,W039,
00199,021,24,W026,2025-01-20
00200,024,305,W019,
00201,004,110,W014,
00202,017,74,W036,
00203,014,495,W041,
00204,011,179,W042,
00205,011,85,W009,
00206,017,397,W004,
00207,025,378,W046,
00208,011,487,W050,
00209,022,328,W001,
00210,020,150,W011,
00211,014,464,W025,
00212,017,424,W015,
00213,022,143,W028,
00214,022,234,W003,
00215,005,313,W027,
00216,012,265,W017,
00217,015,273,W018,
00218,012,78,W039,
00219,006,227,W006,
