order_item_id,order_id,product_id,Quantity,price_per_unit,total_price
00001,00001,022,8,1217.99,9743.92
00002,00001,020,1,1164.99,1164.99
00003,00002,006,6,1950.99,11705.94
00004,00002,011,8,1105.99,8847.92
00005,00002,025,5,799.99,3999.95
00006,00003,018,4,564.99,2259.96
00007,00004,006,7,1950.99,13656.93
00008,00004,001,5,748.99,3744.95
00009,00004,016,7,460.99,3226.93
00010,00004,002,9,1642.99,14786.91
00011,00004,022,1,1217.99,1217.99
00012,00005,013,8,740.99,5927.92
00013,00005,013,6,740.99,4445.94
00014,00005,016,3,460.99,1382.97
00015,00005,006,2,1950.99,3901.98
00016,00005,003,8,278.99,2231.92
00017,00006,015,4,681.99,2727.96
00018,00006,013,9,740.99,6668.91
00019,00007,010,5,650.99,3254.95
00020,00007,008,10,708.99,7089.9
00021,00007,021,6,1469.99,8819.94
00022,00007,005,10,572.99,5729.9
00023,00007,026,4,1227.99,4911.96
00024,00008,020,3,1164.99,3494.97
00025,00009,022,1,1217.99,1217.99
00026,00009,026,2,1227.99,2455.98
00027,00009,010,3,650.99,1952.97
00028,00009,015,7,681.99,4773.93
00029,00009,018,2,564.99,1129.98
00030,00010,025,8,799.99,6399.92
00031,00010,020,7,1164.99,8154.93
00032,00011,018,4,564.99,2259.96
00033,00011,015,3,681.99,2045.97
00034,00011,002,9,1642.99,14786.91
00035,00012,021,8,1469.99,11759.92
00036,00012,018,2,564.99,1129.98
00037,00013,012,10,918.99,9189.9
00038,00014,005,3,572.99,1718.97
00039,00014,025,3,799.99,2399.97
00040,00014,011,9,1105.99,9953.91
00041,00014,007,4,1105.99,4423.96
00042,00015,011,2,1105.99,2211.98
00043,00015,023,10,1841.99,18419.9
00044,00015,010,2,650.99,1301.98
00045,00016,003,9,278.99,2510.91
00046,00016,014,6,584.99,3509.94
00047,00016,001,8,748.99,5991.92
00048,00016,024,4,1145.99,4583.96
00049,00017,017,2,342.99,685.98
00050,00018,025,4,799.99,3199.96
00051,00018,007,4,1105.99,4423.96
00052,00018,014,3,584.99,1754.97
00053,00018,008,8,708.99,5671.92
00054,00018,014,8,584.99,4679.92
00055,00019,012,4,918.99,3675.96
