payment_id,payment_date,payment_mode,order_id,payment_status
00001,2024-01-29,Credit Card,00001,Success
00002,2025-01-13,Apple Pay,00002,Success
00003,2025-01-01,Apple Pay,00003,Success
00004,2025-01-20,Credit Card,00004,Success
00005,2024-07-12,Credit Card,00005,Success
00006,2024-01-17,Apple Pay,00006,Success
00007,2024-11-07,Apple Pay,00007,Success
00008,2024-05-30,Cash,00008,Refunded
00009,2024-09-23,Cash,00009,Success
00010,2024-05-21,Bank Transfer,00010,Refunded
00011,2024-06-22,Credit Card,00011,Success
00012,2025-01-01,Apple Pay,00012,Success
00013,2024-03-13,Cash,00013,Success
00014,2024-08-03,Apple Pay,00014,Success
00015,2024-02-16,Bank Transfer,00015,Success
00016,2024-04-17,Apple Pay,00016,Success
00017,2024-05-23,Bank Transfer,00017,Success
00018,2024-11-15,Apple Pay,00018,Success
00019,2024-06-01,Credit Card,00019,Success
00020,2024-07-16,Cash,00020,Success
00021,2024-02-19,Apple Pay,00021,Success
00022,2024-11-01,Apple Pay,00022,Success
00023,2025-01-21,Cash,00023,Success
00024,2024-09-01,Bank Transfer,00024,Success
00025,2024-03-12,Apple Pay,00025,Success
00026,2024-03-04,Cash,00026,Success
00027,2024-09-29,Credit Card,00027,Success
00028,2024-05-01,Credit Card,00028,Success
00029,2024-12-12,Cash,00029,Success
00030,2024-08-17,Cash,00030,Success
00031,2024-11-26,Credit Card,00031,Success
00032,2024-09-17,Bank Transfer,00032,Refunded
00033,2025-01-11,Cash,00033,Refunded
00034,2024-09-04,Bank Transfer,00034,Success
00035,2024-12-03,Cash,00035,Success
00036,2024-10-11,Credit Card,00036,Refunded
00037,2024-07-22,Apple Pay,00037,Success
00038,2024-01-05,Apple Pay,00038,Success
00039,2024-02-07,Credit Card,00039,Success
00040,2024-12-19,Credit Card,00040,Success
00041,2024-01-24,Credit Card,00041,Success
00042,2024-04-24,Credit Card,00042,Success
00043,2025-01-01,Cash,00043,Success
00044,2024-06-12,Credit Card,00044,Success
00045,2025-01-08,Apple Pay,00045,Success
00046,2024-12-24,Bank Transfer,00046,Success
00047,2024-10-11,Credit Card,00047,Success
00048,2024-04-10,Apple Pay,00048,Success
00049,2024-06-04,Cash,00049,Success
00050,2024-04-17,Bank Transfer,00050,Success
00051,2025-01-11,Credit Card,00051,Success
00052,2024-07-05,Bank Transfer,00052,Success
00053,2024-11-04,Credit Card,00053,Refunded
00054,2024-03-26,Credit Card,00054,Success
00055,2024-03-01,Apple Pay,00055,Success
00056,2024-03-21,Apple Pay,00056,Success
00057,2024-04-22,Credit Card,00057,Success
00058,2024-11-19,Bank Transfer,00058,Success
00059,2024-11-17,Bank Transfer,00059,Success
00060,2024-09-23,Apple Pay,00060,Success
00061,2024-02-24,Credit Card,00061,Success
00062,2024-09-16,Cash,00062,Success
00063,2024-11-21,Cash,00063,Success
00064,2024-12-27,Apple Pay,00064,Success
00065,2024-08-23,Bank Transfer,00065,Success
00066,2024-07-13,Apple Pay,00066,Success
00067,2024-02-18,Bank Transfer,00067,Success
00068,2024-02-13,Apple Pay,00068,Success
00069,2025-01-17,Bank Transfer,00069,Success
00070,2024-03-26,Credit Card,00070,Success
00071,2024-05-20,Credit Card,00071,Success
00072,2024-11-20,Credit Card,00072,Success
00073,2024-06-16,Apple Pay,00073,Refunded
00074,2024-12-14,Apple Pay,00074,Success
00075,2024-08-06,Bank Transfer,00075,Success
00076,2024-09-07,Credit Card,00076,Success
00077,2024-09-06,Bank Transfer,00077,Success
00078,2024-10-25,Credit Card,00078,Success
00079,2024-03-04,Apple Pay,00079,Success
00080,2024-06-07,Bank Transfer,00080,Success
00081,2024-12-15,Credit Card,00081,Success
00082,2024-04-21,Apple Pay,00082,Success
00083,2024-11-15,Cash,00083,Success
00084,2024-08-22,Apple Pay,00084,Success
00085,2024-09-13,Cash,00085,Success
00086,2024-05-18,Apple Pay,00086,Success
00087,2024-09-14,Cash,00087,Success
00088,2024-08-17,Cash,00088,Success
00089,2024-06-24,Credit Card,00089,Success
00090,2024-04-04,Bank Transfer,00090,Success
00091,2024-06-05,Credit Card,00091,Success
00092,2024-02-24,Bank Transfer,00092,Success
00093,2024-05-22,Cash,00093,Success
00094,2024-02-16,Apple Pay,00094,Success
00095,2024-05-30,Bank Transfer,00095,Success
00096,2024-11-15,Apple Pay,00096,Success
00097,2024-01-23,Bank Transfer,00097,Success
00098,2024-02-26,Credit Card,00098,Success
00099,2024-12-27,Cash,00099,Success
00100,2024-03-20,Apple Pay,00100,Success
00101,2024-09-10,Credit Card,00101,Success
00102,2024-12-26,Bank Transfer,00102,Refunded
00103,2024-05-08,Cash,00103,Success
00104,2024-07-22,Apple Pay,00104,Success
00105,2024-07-08,Apple Pay,00105,Success
00106,2024-10-15,Apple Pay,00106,Success
00107,2024-01-31,Bank Transfer,00107,Success
00108,2025-01-03,Bank Transfer,00108,Success
00109,2024-05-11,Cash,00109,Success
00110,2024-02-17,Bank Transfer,00110,Success
00111,2024-12-12,Cash,00111,Success
00112,2024-01-13,Credit Card,00112,Success
00113,2024-05-10,Apple Pay,00113,Success
00114,2024-05-08,Cash,00114,Success
00115,2024-11-22,Apple Pay,00115,Success
00116,2024-08-27,Credit Card,00116,Success
00117,2024-10-09,Cash,00117,Success
00118,2024-10-20,Bank Transfer,00118,Success
00119,2024-07-24,Credit Card,00119,Success
00120,2024-01-24,Cash,00120,Success
00121,2024-03-01,Apple Pay,00121,Success
00122,2024-01-24,Credit Card,00122,Success
00123,2024-06-18,Apple Pay,00123,Refunded
00124,2024-12-02,Credit Card,00124,Success
00125,2025-01-04,Credit Card,00125,Success
00126,2024-05-26,Cash,00126,Success
00127,2024-06-09,Credit Card,00127,Success
00128,2024-07-06,Cash,00128,Success
00129,2024-03-30,Apple Pay,00129,Success
00130,2024-01-22,Cash,00130,Success
00131,2024-06-24,Bank Transfer,00131,Success
00132,2024-03-06,Credit Card,00132,Success
00133,2024-04-21,Apple Pay,00133,Success
