payment_id,payment_date,payment_mode,order_id,payment_status
00001,2024-03-26,Cash,00001,Success
00002,2024-09-08,Bank Transfer,00002,Success
00003,2024-01-16,Bank Transfer,00003,Success
00004,2024-03-04,Credit Card,00004,Success
00005,2024-10-07,Cash,00005,Success
00006,2024-08-12,Cash,00006,Success
00007,2024-10-24,Bank Transfer,00007,Success
00008,2024-02-02,Apple Pay,00008,Success
00009,2025-01-01,Bank Transfer,00009,Success
00010,2024-01-12,Apple Pay,00010,Success
00011,2025-01-01,Cash,00011,Success
00012,2025-01-02,Cash,00012,Success
00013,2024-03-13,Credit Card,00013,Success
00014,2024-12-04,Cash,00014,Success
00015,2024-11-25,Credit Card,00015,Success
00016,2024-01-12,Bank Transfer,00016,Success
00017,2024-12-13,Bank Transfer,00017,Success
00018,2024-05-21,Credit Card,00018,Success
00019,2024-11-17,Bank Transfer,00019,Refunded
00020,2024-09-16,Apple Pay,00020,Success
00021,2024-04-02,Bank Transfer,00021,Success
00022,2024-10-17,Bank Transfer,00022,Success
00023,2024-12-13,Credit Card,00023,Success
00024,2024-09-29,Apple Pay,00024,Success
00025,2024-12-05,Credit Card,00025,Success
00026,2024-02-16,Apple Pay,00026,Success
00027,2024-09-05,Cash,00027,Success
00028,2024-10-27,Bank Transfer,00028,Success
00029,2024-08-25,Bank Transfer,00029,Success
00030,2024-08-18,Cash,00030,Success
00031,2025-01-18,Bank Transfer,00031,Success
00032,2024-03-31,Credit Card,00032,Success
00033,2024-01-19,Apple Pay,00033,Success
00034,2025-01-18,Cash,00034,Success
00035,2024-08-23,Bank Transfer,00035,Success
00036,2024-06-05,Cash,00036,Success
00037,2024-09-03,Bank Transfer,00037,Success
00038,2024-08-21,Cash,00038,Success
00039,2024-05-29,Apple Pay,00039,Success
00040,2024-08-27,Apple Pay,00040,Refunded
00041,2024-11-22,Apple Pay,00041,Refunded
00042,2024-03-04,Bank Transfer,00042,Success
00043,2024-03-31,Cash,00043,Success
00044,2024-02-15,Credit Card,00044,Success
00045,2024-01-28,Bank Transfer,00045,Success
00046,2024-04-09,Cash,00046,Success
00047,2024-07-01,Cash,00047,Success
00048,2024-02-18,Credit Card,00048,Success
00049,2024-04-05,Bank Transfer,00049,Success
00050,2024-01-28,Apple Pay,00050,Success
00051,2024-05-10,Bank Transfer,00051,Success
00052,2024-10-15,Apple Pay,00052,Success
00053,2024-01-14,Credit Card,00053,Success
00054,2025-01-13,Apple Pay,00054,Success
00055,2024-12-10,Apple Pay,00055,Success
00056,2024-08-25,Bank Transfer,00056,Success
00057,2024-04-30,Apple Pay,00057,Success
00058,2024-05-11,Credit Card,00058,Success
00059,2025-01-06,Cash,00059,Success
00060,2024-11-07,Credit Card,00060,Success
00061,2024-10-02,Cash,00061,Success
00062,2024-11-03,Bank Transfer,00062,Success
00063,2024-06-20,Apple Pay,00063,Success
00064,2024-11-20,Cash,00064,Success
00065,2024-02-23,Credit Card,00065,Success
00066,2024-07-16,Credit Card,00066,Success
00067,2024-05-12,Cash,00067,Success
00068,2024-04-15,Cash,00068,Success
00069,2024-06-26,Cash,00069,Success
00070,2024-08-03,Bank Transfer,00070,Refunded
00071,2024-02-10,Credit Card,00071,Success
00072,2024-12-11,Bank Transfer,00072,Success
00073,2024-06-05,Cash,00073,Success
00074,2024-09-11,Credit Card,00074,Success
00075,2024-12-06,Apple Pay,00075,Success
00076,2024-12-14,Bank Transfer,00076,Success
00077,2025-01-15,Apple Pay,00077,Success
00078,2024-08-26,Bank Transfer,00078,Success
00079,2024-12-20,Cash,00079,Success
00080,2024-05-01,Cash,00080,Success
00081,2024-11-02,Apple Pay,00081,Success
00082,2024-08-14,Bank Transfer,00082,Success
00083,2024-04-21,Cash,00083,Success
00084,2024-12-02,Bank Transfer,00084,Success
00085,2024-11-06,Cash,00085,Success
00086,2024-06-26,Credit Card,00086,Success
00087,2024-08-29,Apple Pay,00087,Success
