shipping_id,order_id,shipping_provider,delivery_status,Shipping_date,return_date
00001,00001,DHL,out-for-delivery,2024-04-20,
00002,00002,FedEx,out-for-delivery,2024-08-09,
00003,00003,DHL,out-for-delivery,2024-01-26,
00004,00004,Purolator,out-for-delivery,2024-01-21,
00005,00005,FedEx,Delivered,2024-09-15,
00006,00006,Canada Post,Delivered,2025-01-19,
00007,00007,DHL,out-for-delivery,2024-09-25,
00008,00008,USPS,out-for-delivery,2024-08-11,
00009,00009,FedEx,out-for-delivery,2024-12-15,
00010,00010,Purolator,out-for-delivery,2024-02-15,
00011,00011,UPS,out-for-delivery,2024-06-09,
00012,00012,USPS,Delivered,2024-11-05,
00013,00013,Canada Post,in-transit,2024-06-03,
00014,00014,Purolator,out-for-delivery,2024-01-11,
00015,00015,Canada Post,Delivered,2024-07-08,
00016,00016,UPS,Delivered,2024-08-09,
00017,00017,DHL,Delivered,2024-03-28,
00018,00018,FedEx,Delivered,2024-02-17,
00019,00019,DHL,out-for-delivery,2024-11-06,
00020,00020,USPS,in-transit,2024-11-11,
00021,00021,UPS,Delivered,2024-05-19,
00022,00022,Purolator,Delivered,2024-04-07,
00023,00023,Purolator,in-transit,2024-03-29,
00024,00024,Canada Post,Delivered,2024-09-16,
00025,00025,DHL,Delivered,2024-07-29,
00026,00026,DHL,in-transit,2024-03-16,
00027,00027,UPS,Delivered,2024-02-06,
00028,00028,USPS,Delivered,2024-12-31,
00029,00029,Purolator,Delivered,2024-07-06,
00030,00030,Purolator,in-transit,2024-05-26,
00031,00031,Canada Post,Delivered,2024-11-25,
00032,00032,Purolator,Delivered,2024-03-04,
00033,00033,Canada Post,in-transit,2024-09-22,
00034,00034,FedEx,Delivered,2024-10-02,
00035,00035,UPS,in-transit,2024-11-22,
00036,00036,Canada Post,out-for-delivery,2024-07-19,
00037,00037,USPS,Delivered,2025-01-14,
00038,00038,Purolator,out-for-delivery,2024-09-12,
00039,00039,USPS,Delivered,2025-01-17,
